name,positive_ratings_ratio,price,Peak Viewers,Day,Total viewers,ratingstotal,release_date,Sequel,Charity_stream,tournament,FPS,MOBA
Call of Duty: World at War,0.92964226,19.99,16143,6/20/2020,1304579,21078,11/8/2010,1,0,0,1,0
Need For Speed: Hot Pursuit,0.80430186,14.99,5197,12/20/2020,659345,14180,12/14/2010,0,0,0,0,0
EVE Online,0.74598616,0,19345,1/20/2020,967829,11149,12/15/2010,0,0,0,0,0
Grand Theft Auto: Vice City,0.92299736,5.9899998,185209,1/20/2020,1276009,10636,1/10/2011,1,0,0,1,0
Magicka,0.91414583,7.9899998,8959,1/20/2020,967829,22876,1/25/2011,0,0,0,0,0
The Sims 3,0.82408977,24.99,6007,6/20/2020,709304,14172,1/27/2011,1,0,0,0,0
Dead Space 2,0.94775331,14.99,32780,11/20/2020,581150,9436,1/27/2011,1,0,0,1,0
Men of War: Assault Squad,0.87382472,7.1900001,186,5/20/2020,683590,3297,2/24/2011,0,0,0,0,0
BIT.TRIP RUNNER,0.86189401,6.9899998,14500,5/20/2020,593981,3548,2/28/2011,0,0,0,0,0
RIFT,0.74747586,0,4272,3/20/2020,971728,9211,3/1/2011,0,0,0,0,0
Assassin's Creed 2 Deluxe Edition,0.84920001,8.5900002,33045,1/20/2020,811003,17500,3/17/2011,1,0,0,0,0
Mafia II,0.94429427,19.99,28058,3/20/2020,1637064,33300,3/22/2011,1,0,0,1,0
Portal 2,0.98650354,7.1900001,175214,7/17/2020,760689,140111,4/18/2011,1,1,0,0,0
Mount & Blade: With Fire & Sword,0.85530108,7.9899998,4697,1/20/2020,1357375,7291,5/3/2011,1,0,0,0,0
Red Faction:: Armageddon,0.72682792,14.99,427,7/20/2020,599655,3679,6/9/2011,0,0,0,0,0
Champions Online,0.7165978,0,497,2/20/2020,1410516,2904,6/14/2011,0,0,0,0,0
F.E.A.R. 3,0.724895,12.99,3380,1/20/2020,618700,7379,6/21/2011,1,0,0,0,0
LIMBO,0.93829489,6.9899998,27328,8/20/2020,717126,32315,8/2/2011,0,0,0,0,0
Tropico 4,0.91355699,12.49,4541,7/20/2020,1076453,9567,9/1/2011,1,0,0,0,0
Rock of Ages,0.91432583,6.9899998,6437,3/20/2020,615139,2848,9/7/2011,0,0,0,0,0
"Warhammer: 40,000: Dawn of War: - Soulstorm",0.94471294,9.9899998,5555,1/20/2020,811003,5173,9/8/2011,1,0,0,0,0
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,0.92211264,14.99,9997,6/20/2020,619838,29196,9/13/2011,1,0,0,0,0
Supreme Commander: Forged Alliance,0.96616763,8.9899998,7166,6/20/2020,1095466,5143,9/28/2011,0,0,0,0,0
RAGE,0.76523298,7.9899998,14341,5/20/2020,1262560,12276,10/3/2011,0,0,0,1,0
PAYDAY The Heist,0.93186831,10.99,2863,2/20/2020,593219,37178,10/20/2011,0,0,0,1,0
DC Universe Online,0.7925266,0,5917,8/20/2020,513664,12792,11/2/2011,0,0,0,0,0
